,Model,Company,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1342,Toyota Corolla Altis,Toyota,Mumbai,2008,78000.0,Petrol,Automatic,Second,14.53,1794.0,138.1,5,3.41
1343,Maruti Baleno Vxi,Maruti,Pune,2005,70000.0,Petrol,Manual,First,0.0,1590.0,88.0,5,1.3
1344,Honda City 1.5,Honda,Coimbatore,2012,66245.0,Petrol,Manual,First,17.0,1497.0,118.0,5,5.68
1345,Skoda Laura 1.8,Skoda,Delhi,2011,87670.0,Petrol,Manual,First,13.4,1798.0,157.8,5,4.0
1346,BMW 3 Series,BMW,Hyderabad,2015,10000.0,Diesel,Automatic,First,18.88,1995.0,184.0,5,30.0
1347,Maruti SX4 Zxi,Maruti,Chennai,2007,62493.0,Petrol,Manual,First,15.0,1586.0,104.68,5,1.8
1348,Maruti Ciaz VXi,Maruti,Kochi,2015,44620.0,Petrol,Manual,First,20.73,1373.0,91.1,5,6.93
1349,Land Rover Range,Land,Bangalore,2012,66538.0,Diesel,Automatic,First,10.2,4367.0,308.0,7,70.0
1350,Toyota Innova 2.5,Toyota,Ahmedabad,2013,60000.0,Diesel,Manual,First,12.99,2494.0,100.0,7,7.9
1351,Hyundai Santro Xing,Hyundai,Kochi,2011,20842.0,Petrol,Manual,First,0.0,1086.0,62.0,5,2.78
1352,Hyundai Santa Fe,Hyundai,Chennai,2014,110000.0,Diesel,Automatic,First,13.01,2199.0,194.3,7,14.4
1353,Mercedes-Benz New C-Class,Mercedes-Benz,Mumbai,2011,45000.0,Petrol,Automatic,Second,11.74,1796.0,186.0,5,13.5
1354,Maruti Wagon R,Maruti,Mumbai,2014,40000.0,CNG,Manual,Second,26.6,998.0,58.16,5,3.15
1355,Maruti Alto LXi,Maruti,Coimbatore,2012,49008.0,Petrol,Manual,First,19.7,796.0,46.3,5,2.88
1356,Maruti Alto 800,Maruti,Kolkata,2016,31000.0,Petrol,Manual,First,24.7,796.0,47.3,5,2.15
1357,Nissan Sunny 2011-2014,Nissan,Pune,2013,8000.0,Petrol,Manual,First,16.95,1498.0,97.7,5,3.75
1358,Maruti Alto 800,Maruti,Mumbai,2019,171.0,Petrol,Manual,First,24.7,796.0,47.3,5,3.6
1359,Maruti Alto K10,Maruti,Kolkata,2018,2100.0,Petrol,Manual,First,24.07,998.0,67.1,5,3.6
1360,Hyundai Grand i10,Hyundai,Coimbatore,2018,20667.0,Petrol,Automatic,First,18.9,1197.0,81.86,5,7.55
1361,Honda Mobilio S,Honda,Kolkata,2015,50000.0,Diesel,Manual,First,24.2,1498.0,98.6,7,4.7
1362,Tata Manza Aqua,Tata,Jaipur,2010,100030.0,Diesel,Manual,Second,18.8,1248.0,90.0,5,1.6
1363,Chevrolet Optra Magnum,Chevrolet,Pune,2011,75372.0,Diesel,Manual,First,16.52,1991.0,123.7,5,3.34
1364,Honda City i,Honda,Kochi,2016,60475.0,Petrol,Automatic,First,18.0,1497.0,117.3,5,9.1
1365,Hyundai Grand i10,Hyundai,Kochi,2019,18453.0,Petrol,Manual,First,18.9,1197.0,81.86,5,6.17
1366,Hyundai Verna CRDi,Hyundai,Hyderabad,2008,96578.0,Diesel,Manual,First,22.0,1582.0,126.2,5,2.5
1367,Nissan Micra XL,Nissan,Kolkata,2016,31001.0,Petrol,Manual,First,18.44,1198.0,75.0,5,3.0
1368,Hyundai Verna 1.6,Hyundai,Jaipur,2012,65900.0,Diesel,Manual,First,22.32,1582.0,126.32,5,5.75
1369,Hyundai Creta 1.6,Hyundai,Bangalore,2017,26246.0,Petrol,Manual,First,15.29,1591.0,121.3,5,10.75
1370,Maruti Wagon R,Maruti,Jaipur,2013,62700.0,Petrol,Manual,Second,20.51,998.0,67.04,5,2.85
1371,Honda Accord 2.4,Honda,Chennai,2008,90000.0,Petrol,Automatic,First,10.2,2354.0,180.0,5,6.5
1372,Honda City 1.5,Honda,Bangalore,2016,36000.0,Petrol,Automatic,First,16.8,1497.0,118.0,5,9.45
1373,Maruti Baleno Alpha,Maruti,Delhi,2016,46000.0,Diesel,Manual,First,27.39,1248.0,74.0,5,6.75
1374,Honda City i,Honda,Coimbatore,2017,73003.0,Diesel,Manual,First,26.0,1498.0,98.6,5,7.75
1375,Hyundai i20 Era,Hyundai,Kochi,2014,46566.0,Diesel,Manual,First,22.54,1396.0,88.76,5,4.4
1376,Mercedes-Benz E-Class 2015-2017,Mercedes-Benz,Jaipur,2015,41493.0,Diesel,Automatic,First,13.0,2987.0,265.0,5,42.0
1377,Nissan Terrano XV,Nissan,Kochi,2014,103788.0,Diesel,Manual,First,19.01,1461.0,108.5,5,5.67
1378,Renault Duster 110PS,Renault,Bangalore,2016,45000.0,Diesel,Automatic,First,19.6,1461.0,108.45,5,11.5
1379,Maruti Wagon R,Maruti,Pune,2009,120000.0,Petrol,Manual,First,18.9,998.0,67.1,5,1.69
1380,Hyundai Getz 1.5,Hyundai,Jaipur,2009,97359.0,Diesel,Manual,Second,17.1,1493.0,110.0,5,1.8
1381,Maruti Ritz LXi,Maruti,Mumbai,2016,62000.0,Petrol,Manual,First,18.5,1197.0,85.8,5,3.2
1382,Honda City 1.5,Honda,Pune,2004,115000.0,Petrol,Manual,Second,0.0,1197.0,85.8,5,1.5
1383,BMW 5 Series,BMW,Kochi,2019,18373.0,Diesel,Automatic,First,22.48,1995.0,187.74,5,45.86
1384,Volkswagen Polo 1.2,Volkswagen,Hyderabad,2016,60453.0,Petrol,Manual,First,16.47,1198.0,74.0,5,5.1
1385,Maruti Swift VDI,Maruti,Pune,2013,37000.0,Diesel,Manual,First,17.8,1248.0,88.0,5,4.85
1386,Ford Figo Petrol,Ford,Mumbai,2010,69009.0,Petrol,Manual,Second,15.6,1196.0,70.0,5,2.4
1387,BMW 3 Series,BMW,Hyderabad,2013,30000.0,Diesel,Automatic,First,18.88,1995.0,184.0,5,22.0
1388,Hyundai Verna 1.6,Hyundai,Delhi,2012,70707.0,Diesel,Manual,First,22.32,1582.0,126.32,5,4.28
1389,Renault Duster 85PS,Renault,Coimbatore,2015,64677.0,Diesel,Manual,First,20.45,1461.0,83.8,5,5.67
1390,Hyundai Grand i10,Hyundai,Bangalore,2018,3000.0,Petrol,Automatic,First,18.9,1197.0,81.86,5,6.2
1391,BMW X1 sDrive20d,BMW,Bangalore,2013,49000.0,Diesel,Automatic,Second,17.05,1995.0,184.0,5,14.49
1392,Maruti Ritz VDi,Maruti,Pune,2010,71000.0,Diesel,Manual,First,21.1,1248.0,73.9,5,3.0
1393,Hyundai i10 Era,Hyundai,Jaipur,2010,52000.0,Petrol,Manual,Second,19.81,1086.0,68.05,5,2.25
1394,BMW X5 2014-2019,BMW,Kochi,2016,35659.0,Diesel,Automatic,First,15.97,2993.0,258.0,7,43.78
1395,Honda City V,Honda,Kochi,2019,5377.0,Petrol,Manual,First,16.8,1497.0,116.3,5,11.45
1396,Mahindra Ssangyong Rexton,Mahindra,Delhi,2014,65000.0,Diesel,Automatic,First,11.18,2696.0,184.0,7,10.5
1397,Ford Ecosport 1.5,Ford,Coimbatore,2015,92708.0,Diesel,Manual,First,22.7,1498.0,89.84,5,7.48
1398,Maruti Alto LXi,Maruti,Coimbatore,2010,48105.0,Petrol,Manual,First,19.7,796.0,46.3,5,3.1
1399,Volkswagen Polo 1.2,Volkswagen,Mumbai,2011,46759.0,Petrol,Manual,First,16.47,1198.0,74.0,5,2.55
1400,Volkswagen Polo Diesel,Volkswagen,Jaipur,2013,62000.0,Diesel,Manual,First,22.07,1199.0,73.9,5,3.5
1401,Volkswagen Polo Diesel,Volkswagen,Kolkata,2012,35175.0,Diesel,Manual,First,22.07,1199.0,73.9,5,2.59
1402,Maruti Ertiga ZDI,Maruti,Kolkata,2013,70000.0,Diesel,Manual,First,20.77,1248.0,88.8,7,5.45
1403,Ford EcoSport 1.5,Ford,Kolkata,2017,30000.0,Diesel,Manual,First,22.77,1498.0,98.59,5,6.0
1404,Toyota Innova Crysta,Toyota,Kolkata,2016,66618.0,Diesel,Automatic,First,11.36,2755.0,171.5,7,15.49
1405,BMW 5 Series,BMW,Mumbai,2010,69300.0,Petrol,Automatic,Second,10.8,2497.0,150.0,5,12.5
1406,Maruti Swift Dzire,Maruti,Kolkata,2017,148000.0,Diesel,Manual,First,23.4,1248.0,74.0,5,4.75
1407,Ford Ecosport 1.0,Ford,Mumbai,2017,22000.0,Petrol,Manual,First,18.88,999.0,123.24,5,7.85
1408,Hyundai Verna CRDi,Hyundai,Ahmedabad,2013,75000.0,Diesel,Manual,First,16.8,1493.0,110.0,5,6.0
1409,Tata Zest Revotron,Tata,Mumbai,2016,43706.0,Petrol,Manual,First,17.57,1193.0,88.7,5,4.0
1410,Audi A7 2011-2015,Audi,Mumbai,2011,42000.0,Diesel,Automatic,First,14.4,2967.0,241.4,5,28.75
1411,Tata Indica Vista,Tata,Pune,2012,65000.0,Diesel,Manual,First,22.3,1248.0,74.0,5,2.5
1412,Maruti Swift Dzire,Maruti,Delhi,2015,76128.0,Diesel,Manual,First,26.59,1248.0,74.0,5,5.5
1413,Fiat Linea Emotion,Fiat,Kolkata,2010,39852.0,Petrol,Manual,First,16.0,1368.0,90.0,5,1.59
1414,Hyundai i20 1.2,Hyundai,Mumbai,2017,18673.0,Petrol,Manual,First,18.6,1197.0,81.83,5,6.22
1415,Hyundai EON Era,Hyundai,Kolkata,2016,11583.0,Petrol,Manual,First,21.1,814.0,55.2,5,2.75
1416,Hyundai Santro Xing,Hyundai,Chennai,2007,82000.0,Petrol,Manual,Second,0.0,1086.0,88.0,5,1.35
1417,Mercedes-Benz GLA Class,Mercedes-Benz,Pune,2017,50000.0,Diesel,Automatic,First,17.9,2143.0,136.0,5,25.0
1418,Maruti Celerio VXI,Maruti,Delhi,2014,77000.0,Petrol,Manual,First,23.1,998.0,67.04,5,2.8
1419,Chevrolet Beat LT,Chevrolet,Mumbai,2014,54890.0,Petrol,Manual,Second,17.8,1199.0,76.8,5,2.45
1420,Honda Jazz 1.2,Honda,Pune,2016,21000.0,Petrol,Automatic,First,19.0,1199.0,88.7,5,6.35
1421,BMW 3 Series,BMW,Mumbai,2009,58557.0,Diesel,Automatic,Third,16.07,1995.0,181.0,5,8.0
1422,Renault Duster 110PS,Renault,Bangalore,2014,70000.0,Diesel,Manual,First,19.01,1461.0,108.45,5,8.25
1423,Ford Figo 2015-2019,Ford,Mumbai,2017,16000.0,Petrol,Automatic,First,17.01,1499.0,110.4,5,5.95
1424,Toyota Innova Crysta,Toyota,Kochi,2018,8899.0,Diesel,Manual,First,13.68,2393.0,147.8,7,19.92
1425,Chevrolet Beat Diesel,Chevrolet,Kochi,2016,83629.0,Diesel,Manual,First,25.44,936.0,56.3,5,3.15
1426,Volkswagen Polo GTI,Volkswagen,Chennai,2014,35059.0,Petrol,Automatic,First,17.21,1798.0,189.0,4,5.75
1427,Ford Endeavour 3.2,Ford,Kochi,2018,30552.0,Diesel,Automatic,First,10.91,3198.0,197.2,7,32.44
1428,Hyundai Verna 1.6,Hyundai,Kochi,2016,44875.0,Diesel,Automatic,Second,22.32,1582.0,126.32,5,8.01
1429,Ford Figo 2015-2019,Ford,Coimbatore,2017,25095.0,Petrol,Manual,First,18.16,1196.0,86.8,5,6.48
1430,Maruti 800 AC,Maruti,Jaipur,2007,59000.0,Petrol,Manual,First,16.1,796.0,37.0,4,0.75
1431,Honda City i,Honda,Kolkata,2014,36000.0,Diesel,Manual,First,26.0,1498.0,98.6,5,5.0
1432,Mahindra XUV500 W8,Mahindra,Mumbai,2012,37000.0,Diesel,Manual,First,16.0,2179.0,140.0,7,7.75
1433,Ford Figo Diesel,Ford,Chennai,2010,90000.0,Diesel,Manual,First,20.0,1399.0,68.0,5,2.6
1434,Ford EcoSport 1.5,Ford,Pune,2018,17000.0,Petrol,Manual,First,17.0,1497.0,121.36,5,9.2
1435,Hyundai i20 Asta,Hyundai,Mumbai,2015,42575.0,Petrol,Manual,First,18.6,1197.0,81.83,5,5.05
1436,Toyota Innova 2.5,Toyota,Hyderabad,2012,131000.0,Diesel,Manual,First,12.99,2494.0,100.0,7,9.6
1437,Renault Duster 85PS,Renault,Mumbai,2013,74000.0,Diesel,Manual,First,20.46,1461.0,83.8,5,5.5
1438,Toyota Innova 2.5,Toyota,Mumbai,2013,47234.0,Diesel,Manual,First,12.99,2494.0,100.6,8,9.35
1439,Honda City 1.5,Honda,Delhi,2009,231673.0,Petrol,Manual,First,17.0,1497.0,118.0,5,2.6
1440,Maruti Alto K10,Maruti,Hyderabad,2016,10000.0,Petrol,Manual,First,24.07,998.0,67.1,5,3.5
1441,Nissan Micra Active,Nissan,Kochi,2016,49389.0,Petrol,Manual,First,19.49,1198.0,67.04,5,4.26
1442,Maruti Celerio VXI,Maruti,Chennai,2016,12000.0,Petrol,Automatic,Second,23.1,998.0,67.04,5,4.25
1443,Mercedes-Benz New C-Class,Mercedes-Benz,Hyderabad,2010,65000.0,Petrol,Manual,Second,11.7,1796.0,178.0,5,11.75
1444,Ford Fiesta Diesel,Ford,Chennai,2013,177000.0,Diesel,Manual,First,23.5,1498.0,88.7,5,3.5
1445,Hyundai Verna 1.6,Hyundai,Jaipur,2015,89000.0,Petrol,Manual,First,17.01,1591.0,121.3,5,7.5
1446,Hyundai i20 1.4,Hyundai,Chennai,2009,72000.0,Petrol,Automatic,Third,15.0,1396.0,100.0,5,3.25
1447,Maruti Swift Dzire,Maruti,Chennai,2012,49000.0,Petrol,Manual,First,17.5,1298.0,85.8,5,4.9
1448,Mercedes-Benz New C-Class,Mercedes-Benz,Hyderabad,2014,51355.0,Diesel,Automatic,First,14.84,2143.0,170.0,5,27.0
1449,Hyundai Elite i20,Hyundai,Kochi,2017,13460.0,Petrol,Manual,First,18.6,1197.0,81.86,5,8.91
1450,Hyundai Verna 1.6,Hyundai,Kochi,2014,35642.0,Petrol,Automatic,First,17.01,1591.0,121.4,5,6.69
1451,Chevrolet Cruze LTZ,Chevrolet,Kochi,2014,52895.0,Diesel,Manual,First,17.3,1998.0,163.7,5,6.02
1452,Toyota Corolla Altis,Toyota,Mumbai,2010,93000.0,Petrol,Manual,First,14.28,1798.0,138.03,5,4.5
1453,Maruti A-Star Vxi,Maruti,Pune,2011,70000.0,Petrol,Manual,First,19.0,998.0,66.1,5,2.0
1454,Nissan Micra Diesel,Nissan,Kolkata,2012,32048.0,Diesel,Manual,First,23.08,1461.0,63.1,5,2.4
1455,Tata Nano LX,Tata,Pune,2013,4700.0,Petrol,Manual,First,25.4,624.0,37.48,4,1.2
1456,Maruti Swift Dzire,Maruti,Delhi,2014,71800.0,Diesel,Manual,First,23.4,1248.0,74.0,5,2.9
1457,Land Rover Range,Land,Coimbatore,2008,69078.0,Petrol,Manual,First,0.0,1248.0,74.0,5,40.88
1458,Audi Q3 2.0,Audi,Ahmedabad,2016,45000.0,Diesel,Automatic,First,17.32,1968.0,184.0,5,27.0
1459,Honda Amaze VX,Honda,Chennai,2016,15388.0,Diesel,Manual,First,25.8,1498.0,98.6,5,7.5
1460,Chevrolet Optra 1.6,Chevrolet,Mumbai,2004,98798.0,Petrol,Manual,First,14.7,1599.0,104.0,5,1.5
1461,Audi Q5 2.0,Audi,Hyderabad,2016,43000.0,Diesel,Automatic,First,14.16,1968.0,174.3,5,39.5
1462,Maruti Ritz VDi,Maruti,Hyderabad,2012,85112.0,Diesel,Manual,First,23.2,1248.0,73.94,5,3.39
1463,Mahindra Scorpio S6,Mahindra,Kochi,2018,37804.0,Diesel,Manual,First,15.4,2179.0,120.0,7,12.4
1464,Maruti Ciaz ZDi,Maruti,Chennai,2014,45000.0,Diesel,Manual,First,28.09,1248.0,88.5,5,6.85
1465,Toyota Corolla Altis,Toyota,Pune,2011,116000.0,Diesel,Manual,Second,21.43,1364.0,138.0,5,5.75
1466,Tata Indica V2,Tata,Chennai,2015,100073.0,Diesel,Manual,Second,25.0,1396.0,69.0,5,2.0
1467,Maruti 800 Std,Maruti,Jaipur,2006,165000.0,Petrol,Manual,First,16.1,796.0,37.0,4,0.9
1468,Volkswagen Polo 1.2,Volkswagen,Kolkata,2015,22000.0,Petrol,Manual,First,16.47,1198.0,74.0,5,3.8
1469,Hyundai Elantra 2.0,Hyundai,Delhi,2017,9500.0,Petrol,Automatic,First,14.62,1999.0,149.92,5,16.35
1470,Toyota Fortuner 4x2,Toyota,Hyderabad,2012,152000.0,Diesel,Automatic,First,11.5,2982.0,169.0,7,16.5
1471,Maruti Baleno Zeta,Maruti,Coimbatore,2019,17705.0,Petrol,Manual,First,21.4,1197.0,83.1,5,8.7
1472,Maruti Baleno Zeta,Maruti,Mumbai,2016,12000.0,Petrol,Manual,First,21.4,1197.0,83.1,5,6.1
1473,Mini Cooper Countryman,Mini,Hyderabad,2013,51000.0,Diesel,Automatic,First,23.8,1998.0,112.0,5,21.94
1474,Mercedes-Benz S Class,Mercedes-Benz,Chennai,2009,42000.0,Diesel,Automatic,Second,13.0,2987.0,210.0,5,22.0
1475,Maruti Alto K10,Maruti,Delhi,2015,51000.0,Petrol,Manual,First,20.92,998.0,67.1,5,2.65
1476,Maruti Swift VXI,Maruti,Kochi,2017,42527.0,Petrol,Manual,First,20.4,1197.0,81.8,5,5.27
1477,Chevrolet Sail LT,Chevrolet,Kolkata,2014,45000.0,Diesel,Manual,First,22.1,1248.0,74.0,5,2.48
1478,Toyota Innova 2.5,Toyota,Kolkata,2011,70000.0,Diesel,Manual,First,12.8,2494.0,102.0,8,6.0
1479,Toyota Fortuner 3.0,Toyota,Mumbai,2009,92000.0,Diesel,Manual,First,11.5,2982.0,171.0,7,8.9
1480,BMW 3 Series,BMW,Hyderabad,2012,57156.0,Diesel,Automatic,Second,18.88,1995.0,184.0,5,18.0
1481,Skoda Octavia Ambition,Skoda,Coimbatore,2016,53211.0,Petrol,Manual,First,16.8,1395.0,138.02,5,11.64
1482,Toyota Fortuner 3.0,Toyota,Kolkata,2019,80000.0,Diesel,Manual,First,11.5,2982.0,171.0,7,8.99
1483,Volkswagen Jetta 2007-2011,Volkswagen,Bangalore,2009,74000.0,Diesel,Automatic,First,15.5,1896.0,105.0,5,5.25
1484,Hyundai i20 1.4,Hyundai,Kolkata,2011,37000.0,Diesel,Manual,First,23.0,1396.0,90.0,5,2.95
1485,Tata Manza Club,Tata,Mumbai,2013,64000.0,Diesel,Manual,Second,21.02,1248.0,88.76,5,2.65
1486,Volkswagen Vento Petrol,Volkswagen,Pune,2013,57197.0,Petrol,Manual,First,15.04,1598.0,103.6,5,4.0
1487,Hyundai Creta 1.6,Hyundai,Chennai,2016,55000.0,Diesel,Automatic,First,17.6,1582.0,126.2,5,12.5
1488,Maruti Ritz VXI,Maruti,Mumbai,2014,33000.0,Petrol,Manual,First,21.1,1197.0,85.8,5,3.25
1489,Honda CR-V 2.0L,Honda,Delhi,2008,70000.0,Petrol,Manual,First,13.1,1997.0,141.1,5,4.0
1490,Mahindra XUV500 W8,Mahindra,Delhi,2012,75000.0,Diesel,Manual,Second,15.1,2179.0,140.0,7,6.25
1491,Volkswagen Ameo 1.5,Volkswagen,Jaipur,2016,58095.0,Diesel,Manual,First,21.66,1498.0,108.62,5,5.8
1492,Tata Zest Revotron,Tata,Kolkata,2015,7445.0,Petrol,Manual,First,17.57,1193.0,88.7,5,5.0
1493,Jaguar XJ 3.0L,Jaguar,Kochi,2016,17652.0,Diesel,Automatic,First,12.9,2993.0,270.88,5,58.73
1494,Toyota Corolla Altis,Toyota,Kochi,2018,28321.0,Petrol,Automatic,First,14.28,1798.0,138.03,5,17.49
1495,Maruti A-Star Vxi,Maruti,Pune,2011,69000.0,Petrol,Manual,Second,19.0,998.0,66.1,5,1.95
1496,Honda Accord VTi-L,Honda,Mumbai,2007,80000.0,Petrol,Automatic,First,11.1,2354.0,142.0,5,3.0
1497,Hyundai i20 Asta,Hyundai,Delhi,2014,42365.0,Petrol,Manual,First,17.0,1197.0,80.0,5,5.5
1498,Toyota Fortuner 4x2,Toyota,Delhi,2013,123000.0,Diesel,Automatic,First,12.55,2982.0,168.5,7,16.5
1499,Mercedes-Benz New C-Class,Mercedes-Benz,Mumbai,2011,40000.0,Petrol,Automatic,Second,11.74,1796.0,186.0,5,14.5
1500,Maruti Baleno Alpha,Maruti,Hyderabad,2016,30112.0,Diesel,Manual,First,27.39,1248.0,74.0,5,7.79
1501,Maruti Ertiga VDI,Maruti,Kochi,2017,43775.0,Diesel,Manual,First,20.77,1248.0,88.76,7,8.27
1502,Land Rover Range,Land,Kochi,2019,26013.0,Diesel,Automatic,First,12.65,2993.0,255.0,5,97.07
1503,Chevrolet Optra Magnum,Chevrolet,Mumbai,2012,56000.0,Petrol,Manual,First,12.9,1598.0,102.5,5,2.15
1504,Honda Civic 2006-2010,Honda,Hyderabad,2008,95000.0,Petrol,Automatic,Second,12.9,1799.0,130.0,5,3.0
1505,BMW X3 xDrive20d,BMW,Coimbatore,2014,41089.0,Diesel,Automatic,First,16.09,1995.0,184.0,5,28.79
1506,Skoda Laura Ambition,Skoda,Mumbai,2011,41988.0,Diesel,Automatic,First,20.0,1968.0,138.1,5,5.45
1507,Maruti Swift Dzire,Maruti,Delhi,2013,72486.0,Diesel,Manual,First,23.4,1248.0,74.0,5,3.95
1508,Volvo V40 Cross,Volvo,Pune,2013,92000.0,Diesel,Automatic,First,23.3,1984.0,150.0,5,16.0
1509,Maruti Swift Dzire,Maruti,Delhi,2013,40000.0,Petrol,Manual,First,17.5,1298.0,85.8,5,4.25
1510,Land Rover Range,Land,Bangalore,2014,56000.0,Diesel,Automatic,First,12.7,2179.0,187.7,5,34.5
1511,Honda Accord 2.4,Honda,Mumbai,2008,125000.0,Petrol,Automatic,Third,11.7,2354.0,177.6,5,2.6
1512,Toyota Innova 2.5,Toyota,Kochi,2017,29219.0,Diesel,Manual,First,12.99,2494.0,100.6,8,13.48
1513,Toyota Fortuner 4x4,Toyota,Hyderabad,2018,39927.0,Diesel,Manual,First,12.55,2982.0,168.5,7,32.1
1514,Honda Jazz 1.2,Honda,Kochi,2018,38593.0,Petrol,Manual,First,18.7,1199.0,88.7,5,6.17
1515,Honda City 1.5,Honda,Kolkata,2015,32000.0,Petrol,Manual,First,17.0,1497.0,118.0,5,5.5
1516,Maruti Dzire AMT,Maruti,Hyderabad,2017,28226.0,Diesel,Automatic,First,28.4,1248.0,73.75,5,9.15
1517,Nissan Sunny 2011-2014,Nissan,Pune,2014,95000.0,Diesel,Manual,First,21.64,1461.0,84.8,5,4.5
1518,Toyota Innova 2.5,Toyota,Chennai,2014,194000.0,Diesel,Manual,First,12.99,2494.0,100.6,8,10.5
1519,Honda Brio S,Honda,Coimbatore,2016,14821.0,Petrol,Manual,First,19.4,1198.0,86.8,5,5.37
1520,Volkswagen Vento Petrol,Volkswagen,Bangalore,2012,52000.0,Petrol,Manual,First,15.04,1598.0,103.6,5,5.45
1521,Mahindra XUV500 W4,Mahindra,Mumbai,2016,33000.0,Diesel,Manual,First,16.0,2179.0,140.0,7,9.25
1522,Ford EcoSport 1.5,Ford,Chennai,2016,29200.0,Diesel,Manual,First,23.0,1498.0,98.96,5,7.7
1523,Skoda Yeti Ambition,Skoda,Hyderabad,2012,99754.0,Diesel,Manual,First,17.72,1968.0,108.49,5,7.99
1524,Hyundai i10 Sportz,Hyundai,Chennai,2012,49000.0,Petrol,Manual,First,20.36,1197.0,78.9,5,3.0
1525,Toyota Innova 2.5,Toyota,Hyderabad,2005,299322.0,Diesel,Manual,First,12.8,2494.0,102.0,8,4.0
1526,Tata Zest Quadrajet,Tata,Coimbatore,2018,38310.0,Diesel,Manual,First,20.65,1248.0,88.7,5,6.69
1527,Maruti Swift VDI,Maruti,Delhi,2014,56000.0,Diesel,Manual,First,22.9,1248.0,74.0,5,4.25
1528,Skoda Rapid 1.5,Skoda,Kolkata,2017,31300.0,Diesel,Automatic,First,21.72,1498.0,108.4,5,10.5
1529,Toyota Innova Crysta,Toyota,Coimbatore,2019,11241.0,Diesel,Manual,First,13.68,2393.0,147.8,8,22.55
1530,Hyundai Verna 1.6,Hyundai,Pune,2014,48000.0,Petrol,Manual,Second,17.01,1591.0,121.3,5,5.2
1531,Honda City i,Honda,Coimbatore,2019,23882.0,Petrol,Manual,First,17.4,1497.0,117.3,5,11.87
1532,Honda City i,Honda,Hyderabad,2014,65000.0,Diesel,Manual,First,26.0,1498.0,98.6,5,6.99
1533,Volkswagen Vento Diesel,Volkswagen,Jaipur,2011,50000.0,Diesel,Manual,First,20.54,1598.0,103.6,5,5.0
1534,Audi Q5 2008-2012,Audi,Chennai,2014,25000.0,Diesel,Automatic,First,12.19,2967.0,236.0,5,44.0
1535,Maruti Alto 800,Maruti,Chennai,2015,21000.0,Petrol,Manual,First,22.74,796.0,47.3,5,2.79
1536,Tata Manza ELAN,Tata,Pune,2012,148000.0,Diesel,Manual,Second,21.12,1248.0,88.8,5,2.9
1537,Hyundai Creta 1.6,Hyundai,Delhi,2016,68000.0,Petrol,Manual,First,15.29,1591.0,121.3,5,9.85
1538,Mercedes-Benz GL-Class 2007,Mercedes-Benz,Bangalore,2014,52000.0,Diesel,Automatic,First,12.0,2987.0,224.0,7,49.0
1539,Mahindra Thar CRDe,Mahindra,Jaipur,2016,19000.0,Diesel,Manual,First,16.55,2498.0,105.0,6,9.25
1540,Hyundai Verna 1.6,Hyundai,Mumbai,2011,74000.0,Diesel,Manual,Second,22.32,1582.0,126.3,5,3.75
1541,Ford Aspire Titanium,Ford,Coimbatore,2017,30279.0,Diesel,Manual,First,26.1,1498.0,99.0,5,7.29
1542,Mini Cooper 3,Mini,Mumbai,2016,20000.0,Diesel,Automatic,First,20.7,1496.0,113.98,4,23.5
1543,Maruti Omni 8,Maruti,Hyderabad,2013,34834.0,Petrol,Manual,First,14.0,796.0,35.0,5,2.6
1544,Mahindra Verito 1.5,Mahindra,Pune,2015,90000.0,Diesel,Manual,Second,21.03,1461.0,65.0,5,3.1
1545,Mercedes-Benz E-Class 2009-2013,Mercedes-Benz,Coimbatore,2016,38730.0,Diesel,Automatic,First,14.21,2143.0,203.0,5,29.98
1546,Renault Duster 110PS,Renault,Kochi,2016,57390.0,Diesel,Manual,First,19.01,1461.0,108.45,5,6.73
1547,Maruti Swift Dzire,Maruti,Kolkata,2016,100000.0,Diesel,Manual,First,23.4,1248.0,74.0,5,3.5
1548,Volkswagen Polo Petrol,Volkswagen,Kolkata,2011,50000.0,Petrol,Manual,First,16.47,1198.0,73.9,5,2.35
1549,Mahindra XUV500 W10,Mahindra,Coimbatore,2017,64961.0,Diesel,Manual,First,16.0,2179.0,140.0,7,16.13
1550,Volkswagen Polo 1.2,Volkswagen,Coimbatore,2014,72465.0,Petrol,Manual,First,16.47,1198.0,74.0,5,5.9
1551,Maruti Ritz VXI,Maruti,Hyderabad,2012,68776.0,Petrol,Manual,First,21.1,1197.0,85.8,5,3.9
1552,Chevrolet Optra 1.6,Chevrolet,Pune,2005,150000.0,Petrol,Manual,First,14.7,1598.0,88.0,5,1.5
1553,Toyota Innova 2.5,Toyota,Delhi,2012,68000.0,Diesel,Manual,First,12.8,2494.0,102.0,7,6.95
1554,Honda City i,Honda,Delhi,2015,33000.0,Diesel,Manual,First,26.0,1498.0,98.6,5,7.0
1555,Volkswagen Ameo 1.2,Volkswagen,Coimbatore,2017,22389.0,Petrol,Manual,First,17.0,1198.0,73.75,5,7.23
1556,Maruti SX4 ZDI,Maruti,Mumbai,2012,90000.0,Diesel,Manual,First,21.5,1248.0,88.8,5,3.81
1557,Maruti Swift ZXI,Maruti,Chennai,2012,42000.0,Petrol,Manual,Third,18.6,1197.0,85.8,5,4.5
